PC1,PC2,cluster,Interpretacion
-2.264541728394901,0.5057039027737847,1,Setosa
-2.086425500616159,-0.655404729369137,1,Setosa
-2.3679504490625263,-0.3184773108472495,1,Setosa
-2.3041971611520093,-0.5753677125331957,1,Setosa
-2.3887774935056427,0.6747673967025155,1,Setosa
-2.0705368071805546,1.5185485598885138,1,Setosa
-2.445711339630284,0.074562675006874,1,Setosa
-2.2338418587092663,0.24761393175226518,1,Setosa
-2.34195767645539,-1.0951463625829558,1,Setosa
-2.18867575528087,-0.44862904833755946,1,Setosa
-2.1634865562665238,1.0705955760377268,1,Setosa
-2.3273777541343748,0.15858745465947596,1,Setosa
-2.2240827220450026,-0.7091181580302267,1,Setosa
-2.63971626084463,-0.9382819821078546,1,Setosa
-2.192291508498431,1.8899785123164667,1,Setosa
-2.2514652145840666,2.72237107657447,1,Setosa
-2.202750480080087,1.513750282546219,1,Setosa
-2.190179163791053,0.514304308220693,1,Setosa
-1.8940742930236691,1.4311107069412377,1,Setosa
-2.339949070423409,1.1580334289850018,1,Setosa
-1.9145563949595181,0.43046516328013806,1,Setosa
-2.204645397533815,0.9524573172889985,1,Setosa
-2.7741697937051573,0.48951702650349516,1,Setosa
-1.8204115633372147,0.1067507928354062,1,Setosa
-2.2282174994597255,0.16218616266619693,1,Setosa
-1.9570240073413974,-0.6078925674838084,1,Setosa
-2.0520633112766875,0.2660143119816552,1,Setosa
-2.168193653345022,0.55201649532354,1,Setosa
-2.1403059632841583,0.33664040884505425,1,Setosa
-2.2687901943878774,-0.3148786028405286,1,Setosa
-2.144554429277135,-0.4839420967692592,1,Setosa
-1.8319381022015881,0.44526683550280716,1,Setosa
-2.6082028676633486,1.8284751927341025,1,Setosa
-2.437950859095144,2.185391615630894,1,Setosa
-2.18867575528087,-0.44862904833755946,1,Setosa
-2.211119896812423,-0.18433781054027898,1,Setosa
-2.0444165193198014,0.6849564262949367,1,Setosa
-2.18867575528087,-0.44862904833755946,1,Setosa
-2.43595220296602,-0.8821694147756175,1,Setosa
-2.170547201884271,0.2927269549664463,1,Setosa
-2.2865272388409315,0.4679917156709381,1,Setosa
-1.8717072235369507,-2.3276916061149113,1,Setosa
-2.557834419537513,-0.45381638048979345,1,Setosa
-1.964279290354738,0.4973916400183837,1,Setosa
-2.133372832920029,1.1714321117742046,1,Setosa
-2.0753575928373067,-0.6919173471364104,1,Setosa
-2.381258216802374,1.1506325928736674,1,Setosa
-2.3981916876626395,-0.3623907647258574,1,Setosa
-2.2267812130915194,1.0254825528235454,1,Setosa
-2.205954168648403,0.03223784527377957,1,Setosa
1.103993652804572,0.8631124458513247,2,Virginica
0.7324814400086807,0.5986355733419976,2,Virginica
1.2421095053189375,0.614822449612287,2,Virginica
0.39730728282332795,-1.758168947443527,0,Versicolor
1.0725939482015452,-0.21175790267989567,0,Versicolor
0.38445814616900204,-0.5910624686227367,0,Versicolor
0.7487150759515526,0.7786986113887827,2,Virginica
-0.4978633877981173,-1.8488687712754432,0,Versicolor
0.9262223675330981,0.030330826783381195,0,Versicolor
0.004968025584319954,-1.0294011124030882,0,Versicolor
-0.12469746138036993,-2.6580626779617615,0,Versicolor
0.43873011778054694,-0.0588812850214543,0,Versicolor
0.551633981422508,-1.7725815648562557,0,Versicolor
0.7171650662368514,-0.18543431450504383,0,Versicolor
-0.037258382965688105,-0.4327950987141691,0,Versicolor
0.8758905359406828,0.5099981510591478,2,Virginica
0.348006401980209,-0.19062164665727777,0,Versicolor
0.15339254456866722,-0.7907254562344856,0,Versicolor
1.2153032092161546,-1.6333556445154838,0,Versicolor
0.15694117564425109,-1.3031032701729115,0,Versicolor
0.7382561043698962,0.40247038161853627,2,Virginica
0.4723696823445685,-0.4166082224438797,0,Versicolor
1.2279882140834428,-0.9409147925302728,0,Versicolor
0.629381045314902,-0.4168116425417723,0,Versicolor
0.7004727992084582,-0.06349392765170217,0,Versicolor
0.8735369874014335,0.250708610702054,2,Virginica
1.25422219052245,-0.0826200998131125,2,Virginica
1.3582398473872719,0.3288202662704023,2,Virginica
0.662126137565938,-0.22434607094346415,0,Versicolor
-0.04728151331987991,-1.0572124126050209,0,Versicolor
0.12153420888011922,-1.5635923798655786,0,Versicolor
0.014118226051388197,-1.5733923546480604,0,Versicolor
0.23601083732659708,-0.7759237840118167,0,Versicolor
1.056691428090577,-0.6369012837689372,0,Versicolor
0.2214170883302183,-0.2808476930856402,0,Versicolor
0.4317831607410535,0.8551369202180032,2,Virginica
1.04941335521918,0.5221972645127769,2,Virginica
1.0358782103228246,-1.3924664843877812,0,Versicolor
0.06706759987298057,-0.21262073489338879,0,Versicolor
0.2754250662518349,-1.3298159131577028,0,Versicolor
0.27233506626177273,-1.1194415241194045,0,Versicolor
0.6231705397262216,0.027542633302294544,0,Versicolor
0.3300053638372268,-0.9889007318191552,0,Versicolor
-0.37362762268737537,-2.017932265204174,0,Versicolor
0.2829443429551033,-0.8539507169865503,0,Versicolor
0.08905311031901166,-0.17490854779054169,0,Versicolor
0.22435678320860628,-0.38048465948654553,0,Versicolor
0.573883485558467,-0.153719974080065,0,Versicolor
-0.4570128725046744,-1.5394645102639815,0,Versicolor
0.2522444732694696,-0.5958607459650312,0,Versicolor
